salmon, noun, animal
squirrel, noun, animal
pug, noun, animal
kitten, noun, animal
rabbit, noun, animal
goldfish, noun, animal
hamster, noun, animal
pigeon, noun, animal
cow, noun, animal
bear, noun, animal
jumping, verb, activity
running, verb, activity
dancing, verb, activity
skating, verb, activity
hiking, verb, activity
sitting, verb, activity
eating, verb, activity
drawing, verb, activity
writing, verb, activity
candy, noun, food
coffee, noun, food
apple, noun, food
orange, noun, food
rice, noun, food
kale, noun, food
mushroom, noun, food
corn, noun, food
steak, noun, food
sushi, noun, food
cake, noun, food
books, noun, object
chair, noun, object
umbrella, noun, object
diary, noun, object 
phone, noun, object
paint, noun, object
backpack, noun, object
balloon, noun, object
lego, noun, object
sky, noun, nature
forest, noun, nature
lake, noun, nature
mountain, noun, nature
river, noun, nature
sunset, noun, nature
meadow, noun, nature
rain, noun, nature
winter, noun, nature
summer, noun, nature
autumn, noun, nature
spring, noun, nature
library, noun, place
kitchen, noun, place
gym, noun, place
Canada, noun, place
mall, noun, place
hallway, noun, place
school, noun, place
store, noun, place
jeans, noun, fashion
belt, noun, fashion
beret, noun, fashion
scarf, noun, fashion
dress, noun, fashion
boots, noun, fashion
heels, noun, fashion
cardigan, noun, fashion
romper, noun, fashion
mittens, noun, fashion
tennis, noun, sport
baseball, noun, sport
hockey, noun, sport
soccer, noun, sport
football, noun, sport
golf, noun, sport
Olympics, noun, event
party, noun, event
rodeo, noun, event
parade, noun, event
concert, noun, event
